agent,ici_class,phenotype_family,openfda_total_agent_reports,agent_family_reports,all_database_family_reports,all_database_reports,reporting_odds_ratio,ror_ci_low,ror_ci_high,drug_query,reaction_query,interpretation_role,claim_boundary
avelumab,PD-L1,hepatitis,3952,125,112185,20328575,5.914,4.95,7.066,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,endocrine,3952,170,57293,20328575,15.99,13.71,18.65,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,nephritis,3952,55,133893,20328575,2.148,1.648,2.8,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,cardiac,3952,71,26440,20328575,14.18,11.22,17.92,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,skin,3952,140,725597,20328575,0.9956,0.8413,1.178,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
avelumab,PD-L1,neuromuscular,3952,83,20425,20328575,21.54,17.33,26.76,"(patient.drug.medicinalproduct.exact:""AVELUMAB"" OR patient.drug.medicinalproduct.exact:""BAVENCIO"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,pneumonitis,3127,135,72123,20328575,12.74,10.72,15.13,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,colitis,3127,140,655379,20328575,1.412,1.192,1.672,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,hepatitis,3127,91,112185,20328575,5.434,4.413,6.69,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,endocrine,3127,113,57293,20328575,13.35,11.06,16.1,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
